,0,1,2
152,Centro de Ensino Fundamental 01 de Brazlândia,-15.666803,-48.2010418
153,ESCOLA CLASSE 65 DE CEILÂNDIA,-15.832993,-48.1320124
154,Escola Classe INCRA 07,-15.768212799999999,-47.891628
155,ESCOLA CLASSE 26 DE CEILÂNDIA,-15.8125792,-48.114277799999996
156,CENTRO DE ENSINO FUNDAMENTAL 27 DE CEILÂNDIA,-15.8055217,-48.1511484
157,CENTRO EDUCACIONAL FERCAL,-15.767990699999999,-47.8927933
158,ESCOLA CLASSE 05 DO CRUZEIRO,-15.7985873,-47.9435137
159,ESCOLA CLASSE 501 DE SAMAMBAIA,-15.872636799999999,-48.075078399999995
160,CENTRO DE ENSINO FUNDAMENTAL PROFA. MARIA DO ROSÁRIO GONDIM,,
161,Centro Educacional 01 do Riacho Fundo II,-15.948740899999999,-48.032564199999996
162,ESCOLA CLASSE 03 DO PARANOÁ,-15.7648798,-47.7796302
163,CENTRO DE ENSINO FUNDAMENTAL 106 DO RECANTO DAS EMAS,-15.9055094,-48.0814671
164,CENTRO DE ENSINO FUNDAMENTAL 10 DE TAGUATINGA,-15.8567457,-48.0414952
165,Centro de Ensino Fundamental 26 de Ceilândia,-15.7863364,-48.1260933
166,Escola Classe 15 de Planaltina,-15.6186893,-47.6853215
167,CAIC PROFESSOR WALTER JOSÉ DE MOURA,-15.8624604,-48.0269012
168,CAIC SANTA PAULINA,-15.7781896,-47.7844848
169,CAIC ALBERT SABIN,-16.0302904,-48.028944499999994
170,CENTRO DE ENSINO FUNDAMENTAL 01 DO PLANALTO,-15.7950062,-47.8488483
171,CENTRO DE ENSINO FUNDAMENTAL 03 DE BRASÍLIA,-15.840233999999999,-48.049004
172,ESCOLA CLASSE 325 DE SAMAMBAIA,-15.872636799999999,-48.075078399999995
173,CENTRO EDUCACIONAL VÁRZEAS,-15.820667799999999,-47.5698976
174,CENTRO DE ENSINO FUNDAMENTAL 404 DE SAMAMBAIA,-15.918893299999999,-48.097255499999996
175,Centro de Ensino Médio 02 do Gama,-15.9203821,-48.058374099999995
176,ESCOLA CLASSE 305 SUL,-15.8078472,-47.8984595
177,ESCOLA CLASSE 02 DO ARAPOANGA,-15.896268999999998,-48.0495331
178,Centro Educacional 619 de Samambaia,-15.8791668,-48.1222474
179,CENTRO DE ENSINO FUNDAMENTAL 03 DE SOBRADINHO,-15.650522599999999,-47.7992195
180,ESCOLA CLASSE 831 DE SAMAMBAIA,-15.8880561,-48.1479192
181,Centro de Ensino Fundamental 24 de Ceilândia,-15.804227599999999,-48.1433914
182,CENTRO DE ENSINO FUNDAMENTAL 07 DE SOBRADINHO,-15.643270699999999,-47.8246845
183,CENTRO DE ENSINO FUNDAMENTAL 801 DO RECANTO DAS EMAS,-15.9187088,-48.052030699999996
184,ESCOLA CLASSE 08 DO CRUZEIRO,-15.7985873,-47.9435137
185,Centro de Ensino Fundamental Vendinha,-15.7560387,-47.878983899999994
186,ESCOLA CLASSE 01 DE CEILÂNDIA,-15.833675699999999,-48.091914599999996
187,CENTRO EDUCACIONAL GESNER TEIXEIRA,-15.767990699999999,-47.8927933
188,ESCOLA CLASSE 11 DE TAGUATINGA,-15.8679157,-48.015921399999996
189,CENTRO DE ENSINO FUNDAMENTAL CERÂMICA SÃO PAULO,-15.8876856,-47.7790092
190,CENTRO DE ENSINO FUNDAMENTAL RIO PRETO,-15.7633797,-47.4928811
191,CENTRO DE ENSINO FUNDAMENTAL 03 DO GAMA,-16.0108376,-48.0506816
192,ESCOLA CLASSE 20 DE CEILÂNDIA,-15.832993,-48.1320124
193,CENTRO DE ENSINO MÉDIO 03 DE CEILÂNDIA,-15.859826499999999,-48.0398128
194,CENTRO EDUCACIONAL 04 DE SOBRADINHO,-15.6465266,-47.8261999
195,ESCOLA CLASSE 59 DE CEILÂNDIA,-15.8305133,-48.107762
196,CENTRO EDUCACIONAL 06 DE TAGUATINGA,-15.831306,-48.0786107
197,CENTRO EDUCACIONAL 104 DO RECANTO DAS EMAS,-15.9007186,-48.071086799999996
198,ESCOLA CLASSE 304 NORTE,-15.776155,-47.886257799999996
199,CENTRO DE ENSINO FUNDAMENTAL SÃO JOSÉ,-15.912716399999999,-47.7591459
200,Centro de Ensino Médio 01 do Núcleo Bandeirante,-15.8767245,-47.9764148
201,ESCOLA CLASSE 05 DE SOBRADINHO,-15.640237099999998,-47.802141
202,ESCOLA CLASSE 07 DO GAMA,-15.980700599999999,-48.0720708
203,ESCOLA CLASSE MONJOLO,-15.5377456,-47.686299999999996
204,Centro Educacional INCRA 08,-15.7423405,-48.1701005
205,ESCOLA CLASSE 01 SHI - SUL,-15.833675699999999,-48.091914599999996
206,Centro de Ensino Fundamental 14 de Ceilândia,-15.8471786,-48.1242257
207,ESCOLA CLASSE 108 DE SAMAMBAIA,-15.872636799999999,-48.075078399999995
208,Escola Classe 05 do Paranoá,-15.7667158,-47.7763929
209,Jardim de Infância 01 do Riacho Fundo II,-15.9019528,-48.044801899999996
210,CENTRO DE ENSINO FUNDAMENTAL 08 DE TAGUATINGA,-15.817627199999999,-48.0585702
211,CENTRO EDUCACIONAL 06 DO GAMA,-16.022063199999998,-48.052433
212,ESCOLA CLASSE 304 SUL,-15.8063603,-47.895029199999996
213,ESCOLA CLASSE 215 DE SANTA MARIA,-16.0065174,-47.998977599999996
214,ESCOLA CLASSE 55 DE CEILÂNDIA,-15.832993,-48.1320124
215,CENTRO DE ENSINO FUNDAMENTAL 802 DO RECANTO DAS EMAS,-15.923503799999999,-48.0511761
216,CENTRO EDUCACIONAL 310 DE SANTA MARIA,-16.0238028,-48.0163917
217,CENTRO DE ENSINO FUNDAMENTAL 16 DE CEILÂNDIA,-15.8032332,-48.1087616
218,ESCOLA CLASSE 01 DO GAMA,-15.833675699999999,-48.091914599999996
219,CENTRO DE EDUCAÇÃO INFANTIL 01 DO PARANOÁ,-15.751893899999999,-47.87948
220,CENTRO DE ENSINO MÉDIO 01 DE SÃO SEBASTIÃO,-15.901537399999999,-47.779440199999996
221,CENTRO DE ENSINO MÉDIO 04 DE CEILÂNDIA,,
222,ESCOLA CLASSE 401 DO RECANTO DAS EMAS,-15.9129796,-48.0616257
223,CENTRO EDUCACIONAL DO PAD/DF,-15.767990699999999,-47.8927933
224,ESCOLA CLASSE 15 DE SOBRADINHO,-15.6521163,-47.8083321
225,CENTRO DE EDUCAÇÃO INFANTIL 203 DE SANTA MARIA,-16.0371916,-48.033599099999996
226,Centro de Ensino Fundamental Boa Esperança,-15.827760999999999,-48.246451199999996
227,CENTRO DE ENSINO FUNDAMENTAL QUEIMA LENÇOL,-15.589077999999999,-47.8431637
228,CENTRO DE ENSINO MÉDIO 804 DO RECANTO DAS EMAS,-15.9204449,-48.057876099999994
229,ESCOLA CLASSE CAPÃO SECO,-15.963185,-47.5572965
230,CENTRO DE EDUCAÇÃO INFANTIL 01 DA ESTRUTURAL,-15.751893899999999,-47.87948
231,CENTRO DE ENSINO FUNDAMENTAL 08 DE PLANALTINA,-15.621329399999999,-47.645480899999995
232,CENTRO DE ENSINO FUNDAMENTAL 213 DE SANTA MARIA,-16.0081915,-48.0029185
233,ESCOLA CLASSE 46 DE CEILÂNDIA,-15.8466334,-48.1138925
234,Centro de Ensino Fundamental 04 de Planaltina,-15.622708399999999,-47.651840299999996
235,ESCOLA CLASSE BOA VISTA,-15.5888736,-47.921943899999995
236,ESCOLA CLASSE 05 DO GUARÁ,-15.8202544,-47.9809984
237,CENTRO DE ENSINO FUNDAMENTAL 02 DA ESTRUTURAL,-15.7864448,-47.9899931
238,ESCOLA CLASSE 08 DE CEILÂNDIA,-15.832993,-48.1320124
239,ESCOLA CLASSE BELA VISTA,-15.9137563,-47.7545091
240,CENTRO DE EDUCAÇÃO INFANTIL 310 DO RECANTO DAS EMAS,-15.8998236,-48.053597599999996
241,Centro de Ensino Fundamental 32 de Ceilândia,-15.856933699999999,-48.1163725
242,Centro Educacional 01 do Guará,-15.818371299999999,-47.980955699999996
243,Centro de Educação Infantil 01 de Ceilândia,-15.751893899999999,-47.87948
244,JARDIM DE INFÂNCIA 108 SUL,-15.817213599999999,-47.9042313
245,ESCOLA CLASSE 53 DE TAGUATINGA,-15.862146599999999,-48.000821599999995
246,CENTRO DE ENSINO FUNDAMENTAL 34 DE CEILÂNDIA,-15.7942837,-48.1387869
247,CAIC HELENA REIS,-15.8770285,-48.1056549
248,ESCOLA CLASSE 318 DE SAMAMBAIA,-15.872636799999999,-48.075078399999995
249,CENTRO DE ENSINO MÉDIO 02 DE PLANALTINA,-15.6217068,-47.653621099999995
250,Centro de Educação Infantil da Candangolândia,-15.8998236,-48.053597599999996
251,CENTRO DE ENSINO FUNDAMENTAL 05 DE BRASÍLIA,-15.823402699999999,-47.8997077
252,ESCOLA CLASSE REINO DAS FLORES,-15.693197199999998,-47.6024403
253,CENTRO DE ENSINO FUNDAMENTAL 19 DE CEILÂNDIA,-15.826642699999999,-48.1148312
254,ESCOLA CLASSE 05 DE PLANALTINA,-15.631333999999999,-47.654219999999995
255,ESCOLA CLASSE 45 DE CEILÂNDIA,-15.842157499999999,-48.1174738
256,CAIC AYRTON SENNA,-15.8901127,-48.1120574
257,ESCOLA CLASSE 21 DO GAMA,-15.980700599999999,-48.0720708
